id,current_price,high_24h,low_24h,ch_lowhigh,price_ch_24h,price_ch_7d_php,price_ch_30d_php,market_cap_ch_24h
bitcoin,2966643.0,2990677.0,2818798.0,6.097599047537283,4.92286,-7.59990387344814,-11.713086282370424,5.05863
ethereum,216926.0,220187.0,203213.0,8.352812074030691,6.74818,-7.081682603384041,2.541465409423102,7.00442
litecoin,11169.91,11375.87,10221.39,11.29474562657331,9.27979,-11.313750725469848,6.0260538889953414,9.29151
chainlink,1427.21,1459.58,1341.56,8.797221145532074,6.38425,-16.771267832654456,2.1857905906648414,7.24642
uniswap,1065.73,1090.12,1012.88,7.625779954190026,5.21786,-13.309928147602824,-22.37064732807935,5.73896
