id,current_price,high_24h,low_24h,price,price_change,position,hold,new_amount,old_amount,amount_change
bitcoin,2_966_643.00,2_990_677.00,2_818_798.00,0.00,2_966_643.00,,0.00,0.00,0.00,0.00
chainlink,1_427.21,1_459.58,1_341.56,1_507.81,-80.60,-5.35,1.33,1_893.09,2_000.00,-106.91
chainlink,1_427.21,1_459.58,1_341.56,1_399.41,27.80,1.99,0.71,1_019.87,1_000.00,19.87
ethereum,216_926.00,220_187.00,203_213.00,0.00,216_926.00,,0.00,0.00,0.00,0.00
litecoin,11_169.91,11_375.87,10_221.39,11_000.00,169.91,1.54,0.73,8_154.03,8_030.00,124.03
litecoin,11_169.91,11_375.87,10_221.39,11_000.00,169.91,1.54,0.62,6_981.19,6_875.00,106.19
litecoin,11_169.91,11_375.87,10_221.39,12_229.30,-1_059.39,-8.66,0.62,6_981.19,7_643.31,-662.12
uniswap,1_065.73,1_090.12,1_012.88,1_202.00,-136.27,-11.34,3.29,3_503.36,3_951.32,-447.96
uniswap,1_065.73,1_090.12,1_012.88,1_110.50,-44.77,-4.03,3.28,3_497.73,3_644.66,-146.94
